City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Tasiilaq,GL,65.6145,-37.6368,35.76,97,100,9.1,light rain
210,Chino Valley,US,34.7575,-112.4538,55.98,19,0,8.05,clear sky
211,Autazes,BR,-3.5797,-59.1306,73.04,99,99,2.19,light rain
212,Airai,TL,-8.9266,125.4092,68.09,88,70,2.15,very heavy rain
213,Izumo,JP,35.3667,132.7667,57.15,38,20,12.66,few clouds
214,Burnie,AU,-41.0667,145.9167,60.15,88,99,1.41,overcast clouds
215,Prince Rupert,CA,54.3161,-130.3201,42.49,56,0,6.91,clear sky
216,Kachiry,KZ,53.0675,76.1036,72.07,21,10,14.45,clear sky
217,Plessisville,CA,46.2186,-71.762,44.08,91,100,12.71,overcast clouds
218,Newcastleton,GB,55.1796,-2.8127,49.03,92,100,1.77,overcast clouds
219,Onega,RU,63.9061,38.1404,31.17,88,73,8.66,broken clouds
220,Pavlovsk,RU,50.4578,40.1081,54.37,70,96,12.3,overcast clouds
221,Vila,PT,42.0304,-8.1588,41.88,87,29,2.24,scattered clouds
222,Beira,MZ,-19.8436,34.8389,79.02,88,55,4.36,broken clouds
223,Pawai,IN,24.2667,80.1667,104.43,7,1,10.94,clear sky
224,Chicama,PE,-7.8447,-79.1469,61.34,85,71,5.86,broken clouds
225,Udaipura,IN,23.0833,78.5,102.81,9,0,9.91,clear sky
226,Wewak,PG,-3.5534,143.6268,85.03,69,27,7.14,scattered clouds
227,General Roca,AR,-39.0333,-67.5833,62.56,26,0,6.11,clear sky
228,Yendi,GH,9.4427,-0.0099,74.48,81,100,9.01,light rain
229,Lubyany,RU,56.0378,51.4,33.64,73,100,9.91,overcast clouds
230,Ust-Maya,RU,60.4167,134.5333,31.98,87,100,4.45,light snow
231,Sur,OM,22.5667,59.5289,96.12,33,81,2.82,broken clouds
232,Coquimbo,CL,-29.9533,-71.3436,57.45,80,2,1.34,clear sky
233,Avarua,CK,-21.2078,-159.775,77.05,94,23,3.44,few clouds
234,Sitka,US,57.0531,-135.33,42.69,65,75,9.22,broken clouds
235,Kodiak,US,57.79,-152.4072,36.91,93,100,16.11,light rain
236,Paris,FR,48.8534,2.3488,52.14,85,0,9.22,clear sky
237,Ahuimanu,US,21.4447,-157.8378,76.71,76,100,16.11,light rain
238,Lasa,IT,46.6166,10.7002,47.28,90,40,7.67,scattered clouds
239,Krasnoselkup,RU,65.7,82.4667,31.73,98,100,11.9,snow
240,Ponta Do Sol,PT,32.6667,-17.1,65.71,47,97,5.03,overcast clouds
241,Omboue,GA,-1.5746,9.2618,78.03,89,100,3.02,overcast clouds
242,San Carlos De Bariloche,AR,-41.1456,-71.3082,35.35,80,0,4.61,clear sky
243,Nuuk,GL,64.1835,-51.7216,23.61,63,23,17.27,few clouds
244,Camacupa,AO,-12.0167,17.4833,62.87,94,100,1.74,overcast clouds
245,Lagoa,PT,39.05,-27.9833,58.24,72,100,5.17,overcast clouds
246,Lorengau,PG,-2.0226,147.2712,83.43,76,40,6.02,scattered clouds
247,Xining,CN,36.6167,101.7667,56.75,34,91,9.06,overcast clouds
248,Arraial Do Cabo,BR,-22.9661,-42.0278,71.82,72,13,23.6,few clouds
249,Margate,GB,51.3813,1.3862,48.69,88,1,1.99,clear sky
250,Bambous Virieux,MU,-20.3428,57.7575,82.22,74,75,19.57,broken clouds
251,Saint Anthony,US,45.0205,-93.218,28.0,68,100,16.11,overcast clouds
252,Koygorodok,RU,60.445,50.9968,28.96,73,100,10.33,overcast clouds
253,Aviles,ES,43.5547,-5.9248,55.76,95,100,8.01,fog
254,Micheweni,TZ,-4.9667,39.8333,79.66,85,100,6.26,moderate rain
255,Port Hedland,AU,-20.3167,118.5667,95.05,29,7,11.5,clear sky
256,Methoni,GR,36.8197,21.7049,64.22,62,54,5.08,broken clouds
257,Atar,MR,20.5169,-13.0499,70.18,23,0,2.04,clear sky
258,Barcelos,PT,41.5388,-8.6151,55.92,91,50,2.26,scattered clouds
259,Biala Podlaska,PL,52.0324,23.1165,38.39,72,100,16.98,overcast clouds
260,Longyearbyen,SJ,78.2186,15.6401,30.04,93,100,3.44,light snow
261,Moree,AU,-29.4667,149.85,77.02,36,40,9.22,scattered clouds
262,Anta,IN,25.15,76.3,102.58,11,0,7.78,clear sky
263,Manokwari,ID,-0.8667,134.0833,83.75,72,75,5.57,broken clouds
264,Lata,PT,40.1629,-8.3327,50.9,92,61,2.66,broken clouds
265,Komsomolskiy,UZ,40.4272,71.7189,81.32,21,11,2.3,few clouds
266,Anloga,GH,5.7947,0.8973,81.57,80,95,6.33,overcast clouds
267,Leshukonskoye,RU,64.8989,45.7622,28.51,85,94,6.35,overcast clouds
268,Dzidzantun,MX,21.25,-89.05,76.55,70,12,6.82,few clouds
269,Port Macquarie,AU,-31.4333,152.9167,70.9,61,100,9.28,overcast clouds
270,Cabo San Lucas,MX,22.8909,-109.9124,70.61,54,98,11.45,overcast clouds
271,Bethel,US,41.3712,-73.414,57.63,48,0,12.66,clear sky
272,Ketchikan,US,55.3422,-131.6461,35.58,55,0,0.0,clear sky
273,Norman Wells,CA,65.282,-126.8329,-2.16,65,20,2.3,few clouds
274,Babstovo,RU,48.1167,132.4833,43.88,61,82,17.6,broken clouds
275,Bilibino,RU,68.0546,166.4372,30.02,84,96,4.79,overcast clouds
276,Puerto Carreno,CO,6.189,-67.4859,76.21,87,96,4.34,overcast clouds
