City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,Savannakhet,16.566,104.751,79.75,68,6,3.2,LA,2022-04-15 21:25:35
252,Adelaide,-34.9333,138.6,65.05,78,1,7.0,AU,2022-04-15 21:25:36
253,Impfondo,1.6381,18.0667,71.67,90,94,1.28,CG,2022-04-15 21:25:36
254,Vostok,46.4856,135.8833,26.94,79,86,4.97,RU,2022-04-15 21:25:36
255,Kamenka,51.3223,42.7678,45.93,68,94,4.81,RU,2022-04-15 21:25:37
256,Carballo,43.213,-8.691,57.54,95,13,1.81,ES,2022-04-15 21:25:37
257,Kiama,-34.6833,150.8667,60.58,90,99,1.99,AU,2022-04-15 21:25:37
258,Kingston,17.997,-76.7936,90.25,64,20,24.16,JM,2022-04-15 21:22:00
259,Aklavik,68.2191,-135.0107,4.14,79,95,4.83,CA,2022-04-15 21:25:38
260,Caucaia,-3.7361,-38.6531,83.03,73,20,9.22,BR,2022-04-15 21:25:38
261,Pangnirtung,66.1451,-65.7125,-0.4,71,0,4.61,CA,2022-04-15 21:24:06
262,Aswan,24.0934,32.907,79.99,8,0,9.8,EG,2022-04-15 21:25:39
263,Felanitx,39.4696,3.1483,58.95,81,28,4.81,ES,2022-04-15 21:25:39
264,Victoria,22.2855,114.1577,73.33,78,97,18.01,HK,2022-04-15 21:24:50
265,Bairnsdale,-37.8333,147.6167,56.28,81,86,3.38,AU,2022-04-15 21:21:23
266,Upata,8.0086,-62.3989,84.07,54,96,7.4,VE,2022-04-15 21:25:39
267,Amapa,1.0,-52.0,75.88,95,100,1.92,BR,2022-04-15 21:25:40
268,Lorengau,-2.0226,147.2712,81.54,78,52,4.85,PG,2022-04-15 21:25:40
269,Husavik,66.0449,-17.3389,42.22,80,100,13.69,IS,2022-04-15 21:25:40
270,Kununurra,-15.7667,128.7333,75.18,94,19,4.61,AU,2022-04-15 21:25:41
